time,des_dof_pos_left_hip_roll_joint,dof_pos_left_hip_roll_joint,dof_vel_left_hip_roll_joint,dof_tau_left_hip_roll_joint
0.0,0.0009117284213396562,-0.000502348,0.051116943,0.104919434
0.002,0.0018000361646297628,-0.0008801851302866541,-0.1443846730723684,0.12007803669631109
0.004,0.0027061235692307692,-0.000885725,-0.056058687750903835,0.05683299843564714
0.006,0.0036172361900975785,-0.000885725,-0.0801057216091899,0.015935040115591728
0.008,0.004545664748449428,-0.000502348,0.09463828962268657,0.054296441327761194
0.01,0.00547425090314857,-0.000502348,0.025120577623993168,0.2541494682960703
0.012,0.0064148360372893514,-0.000502348,0.017178108559456538,0.15114402616063483
0.014,0.00736245381846374,-0.000502348,-0.06913179571253422,0.1514871444886323
0.016,0.008317023927064713,-0.00048614961449654844,0.06979288743608665,0.11692701567614854
0.018,0.00927928362106264,-0.000118971,0.04231174389069933,0.21202400679174596
0.02,0.010247992723115398,-0.000118971,0.015019969594642645,0.146671295
0.022,0.011227000263595346,-0.000118971,0.02705503444660194,0.14751637740870277
0.024,0.012211927985325699,-0.00011380021740683414,-0.006606298097511608,0.17289067313406356
0.026,0.013209957440118695,0.0002701273344198962,0.12523200400881324,0.16232538735156343
0.028,0.014212193070063694,0.000648737,0.19478332960473502,0.1874189407589232
0.03,0.015234789203981879,0.0006613652434658074,0.2004415144321518,0.3177091107321876
0.032,0.016258400473885045,0.001045182631942789,0.10618729794874851,0.27457467693349225
0.034,0.017290779417689833,0.0014284912386850882,0.1530965758980467,0.257946730043354
0.036,0.018331609707285083,0.001799822,0.14244666930656324,0.3003162736355609
0.038,0.019381327076281287,0.0018128937479732952,0.055956300115879834,0.3574086629313305
0.04,0.020439061129499822,0.0021959946379974324,0.31590273408087294,0.28978690581643135
0.042,0.021502444699570814,0.002571506594758554,0.11798087534651783,0.2984380471526329
0.044,0.022578021270182994,0.002961539483072138,0.09937747433293456,0.31126184140782387
0.046,0.02366558439761621,0.003347174463097651,0.18057721940717777,0.3370016029939191
0.048,0.02475701086103352,0.0037300915363625985,0.21551204250816303,0.25254317449480534
0.05,0.0258328499833935,0.004097230054001599,0.15852336527742894,0.32934637527799976
