time,des_dof_pos_left_ankle_pitch_joint,dof_pos_left_ankle_pitch_joint,dof_vel_left_ankle_pitch_joint,des_dof_pos_left_ankle_roll_joint,dof_pos_left_ankle_roll_joint,dof_vel_left_ankle_roll_joint,des_dof_pos_left_hip_pitch_joint,dof_pos_left_hip_pitch_joint,dof_vel_left_hip_pitch_joint,des_dof_pos_left_hip_roll_joint,dof_pos_left_hip_roll_joint,dof_vel_left_hip_roll_joint,des_dof_pos_left_hip_yaw_joint,dof_pos_left_hip_yaw_joint,dof_vel_left_hip_yaw_joint,des_dof_pos_left_knee_joint,dof_pos_left_knee_joint,dof_vel_left_knee_joint,des_dof_pos_waist_yaw_joint,dof_pos_waist_yaw_joint,dof_vel_waist_yaw_joint
0.0,-0.25935678879678187,-0.266468287,-0.040435791,0.0003859250923718713,-0.010032922,0.024673462,0.0007718501847437426,0.018524885,0.079652786,0.40064320818474375,0.340913057,-0.02822876,0.0006432091293206198,-0.005105734,-0.125888824,0.9007718655750894,0.879503489,0.043029785,0.0,0.007400274,-0.061798096
0.002,-0.25871909580541314,-0.266468287,-0.005465633186126619,0.0007685395113866699,-0.010032922,0.0036001405487587554,0.0015370790044115894,0.018524885,0.05349928982040623,0.4012809002129486,0.3412950678864473,0.07516127171089204,0.0012808985250983666,-0.005105734,-0.054424266232212845,0.9015370622981995,0.879503489,-0.008665230855446016,0.0,0.007400274,0.0020604527048343063
0.004,-0.2580751495843388,-0.266468287,0.07398614477440192,0.0011549173597113793,-0.010032922,-0.010570968004545454,0.002309833756091791,0.018524885,-0.019208697962679426,0.4019248473973267,0.341296434,0.03891867302727273,0.0019248619572983204,-0.005105734,0.05109175504688995,0.9023098328477643,0.879503489,-0.0704827648145933,0.0,0.007400274,-0.07246136090287081
0.006,-0.25742991940128757,-0.266468287,0.046693728649668656,0.0015420401072961374,-0.010032922,-0.004882070063574076,0.003084081203862661,0.018524885,0.021022302466696622,0.40257007659871247,0.341296434,0.11796922375783445,0.0025700678347639486,-0.005105734,0.1574912469984275,0.9030840851824035,0.879503489,-0.02852240838762215,0.0,0.007400274,0.046828440224531045
0.008,-0.25677356166961296,-0.266468287,-0.01625596561282487,0.0019358682584806497,-0.010032922,0.04842240139033277,0.0038717365169612995,0.018524885,-0.07920246231649258,0.40322643434113714,0.34092991180616955,-0.023046257102744716,0.003226447104634496,-0.005105734,-0.002270489946805926,0.9038717384094601,0.879503489,0.005570032530240465,0.0,0.007766796193830459,0.11981448014403692
0.01,-0.2561096451451153,-0.266468287,1.823606851948656e-07,0.002334205478250535,-0.010032922,-0.0575982732212506,0.00466841096921797,0.018524885,0.008803962781744126,0.4038903518421678,0.340913057,-0.009213764271322474,0.0038903431219396247,-0.005105734,-0.04366393542513177,0.9046684027784645,0.879503489,0.03929756001868711,0.0,0.007415015736583613,-0.08550990321502155
0.012,-0.2554427965142926,-0.2661110755778958,0.08748868767213303,0.0027343273555128513,-0.010032922,-0.006573119271855873,0.00546865569132837,0.018524885,0.0585763751990992,0.40455719948570745,0.340913057,-0.06099647666774454,0.004557212249339419,-0.005105734,-0.11325663907702968,0.9054686330951237,0.879503489,-0.028792219751356977,0.0,0.007400274,-0.007115804327866973
0.014,-0.2547628211084165,-0.2664646826330835,-0.010454238394359036,0.0031422991027104134,-0.010032922,-0.029453221549231356,0.0062845972396576326,0.018524885,-0.002138324131368323,0.40523717489158345,0.340913057,-0.037642255685046366,0.0052371641997146934,-0.005105734,-0.06535195364604243,0.9062846148801712,0.879503489,-0.07861778421839663,0.0,0.007400274,0.05516378894346335
0.016,-0.2540833932086426,-0.266468287,0.017309006423783396,0.0035499654516399333,-0.010032922,0.04120535863156012,0.007099931903279866,0.018524885,0.10258244971338264,0.40591660279135744,0.3412932788219227,0.05492854656762883,0.005916609747905195,-0.00472551217807729,0.11977530612702765,0.9070999285991141,0.879503489,-0.053616750840291036,0.0,0.007400274,-0.05175120931655534
0.018,-0.25339317187637106,-0.2660849550790865,0.05568999502728366,0.003964096740701002,-0.010032922,0.03373815134615384,0.007928194481402003,0.018524885,0.06989119577596153,0.4066068241421078,0.341296434,-0.01753880385252405,0.0066068282345016684,-0.005105687921033653,0.029765642934375003,0.9079281712390319,0.879503489,0.08085734966694713,0.0,0.007400274,0.03279612566129806
0.02,-0.2526994127744128,-0.266084909,0.09077306706148713,0.004380355541910099,-0.010032922,0.0317239820386082,0.008760712065219984,0.018524885,0.07659782787273595,0.407300584206987,0.341296434,0.09073815658150619,0.007300592890783355,-0.004722539734509056,-0.0754808221844614,0.9087607287862168,0.879503489,0.15591094875738798,0.0,0.007400274,-0.015998455346520495
0.022,-0.2519994336057305,-0.266084909,0.04503908938250986,0.004800333038598153,-0.010032699675133379,-0.004510251345975412,0.009600666058489226,0.018524885,0.070520519756553,0.40800056241297655,0.341296434,0.06945226650777081,0.008000554730996921,-0.004722357,0.0374521706078636,0.9096006679088325,0.879503489,-0.10646153247970308,0.0,0.007400274,-0.06333724812862446
0.024,-0.25129815791022264,-0.266084909,0.08808862468104847,0.005221108986832655,-0.00965972747889121,0.03174042664567386,0.010442216985635624,0.018524885,0.10911665454987243,0.4087018390897773,0.341296434,0.11101733594409649,0.008701847970074216,-0.004722357,0.1517598215598469,0.910442210961695,0.879503489,-0.028079832429598703,0.0,0.007400274,-0.08560424870900023
0.026,-0.2505829996733847,-0.266084909,-0.02250602904847397,0.005650198459988145,-0.009649545,0.03666440475942549,0.011300396903971548,0.018899314242369836,-0.0424347300897666,0.4094169975666864,0.341296434,-0.02942316359784558,0.009416996438648488,-0.004722357,-0.037367507482944345,0.9113003890800236,0.879503489,-0.020574983700179534,0.0,0.007400274,0.14031198913105924
0.028,-0.2498684177380753,-0.266084909,-0.025177002,0.0060789514890615655,-0.009649545,0.05121366193425202,0.012157901999402271,0.018908262,0.007067012698703717,0.4101315939427376,0.341296434,-0.07368990111970103,0.010131585155528991,-0.004722357,-0.02882054369613453,0.9121579052441123,0.879503489,-0.04147258004309237,0.0,0.007400274,-0.09227880123718327
