time,des_dof_pos_left_hip_roll_joint,dof_pos_left_hip_roll_joint,dof_vel_left_hip_roll_joint,dof_tau_left_hip_roll_joint
0.0,0.699999988,-0.000885725,0.077056885,0.024719238
0.002,0.699999988,0.004256830817060022,3.5608683398612673,14.801342408273273
0.004,0.699999988,0.01586444945310436,5.713253928132101,4.911082823792602
0.006,0.699999988,0.02981515867532777,7.166527057502503,3.4061246798991656
0.008,0.699999988,0.04518181139194789,7.991112604118294,2.4697038280789814
0.01,0.699999988,0.06160123252663147,8.43597912805974,1.9681917097984645
0.012,0.699999988,0.0797273442406644,8.757396120459182,1.2736677255660267
0.014,0.699999988,0.0971746540640299,8.919950296167128,0.8764865952622694
0.016,0.699999988,0.1154040160397398,9.165633365255587,0.8050682681541099
0.018,0.699999988,0.13328907371431997,9.04976765341245,0.28907231739901657
0.02,0.699999988,0.1510423862077208,8.714150109724274,0.2681668826355922
0.022,0.699999988,0.16871491245676062,8.730081414938844,0.4232069452245581
0.024,0.699999988,0.18562248522364672,8.534218166393163,-0.1347286458917379
0.026,0.699999988,0.20242207133933865,8.332471957334125,0.021570570836434752
0.028,0.699999988,0.21881456866630605,8.145145903859959,0.15964371871306646
0.03,0.699999988,0.23466528955842472,7.919551973035137,-0.34461627377078174
0.032,0.699999988,0.2502156092117209,7.772177094301309,-0.22114909747243905
0.034,0.699999988,0.26527612742708334,7.458401081368894,0.007528945171695403
0.036,0.699999988,0.27990653484335914,7.206252695331745,-0.37374420527099467
0.038,0.699999988,0.2940805305783449,7.038167126651801,-0.596034959522299
0.04,0.699999988,0.30787344877513384,6.852315926289471,-0.22338798812242713
0.042,0.699999988,0.32087225861576824,6.504801744168131,-0.38820344220256475
0.044,0.699999988,0.3331077460417014,6.096146845297033,-0.6068284245325867
0.046,0.699999988,0.3457405437399928,6.283539369751893,-0.5911316349094843
0.048,0.699999988,0.3573411020017791,5.777324356615229,-0.23785716690594236
0.05,0.699999988,0.3687756021847149,5.752539264884284,-0.3579693460155726
0.052,0.699999988,0.3795666855504152,5.445166405772242,-0.5201921249347569
0.054,0.699999988,0.3902469102063644,5.225056486810145,-0.6687082164981457
0.056,0.699999988,0.40062136482078725,5.132470147337971,-0.3376993582254727
0.058,0.699999988,0.4101898109378585,4.7910481480745695,-0.17157460210564054
0.06,0.699999988,0.4197921494460329,4.744396917727186,-0.34117180861615437
0.062,0.699999988,0.42898312612335116,4.608832400936542,-0.47035387794010697
0.064,0.699999988,0.437777095679924,4.3647932736392026,-0.6198912045867268
0.066,0.699999988,0.4465557470257431,4.225694017989235,-0.4568782458567751
0.068,0.699999988,0.45483977556494265,4.125338286881933,-0.23579232432050082
0.07,0.699999988,0.46297169228086343,3.9974275857945667,-0.07699266347610963
0.072,0.699999988,0.47114340330170057,3.8586408794918543,-0.27793299399203236
0.074,0.699999988,0.4784147940508657,3.7544235142057314,-0.4271443266592239
0.076,0.699999988,0.48570512787675807,3.6224584662519663,-0.5788010480252682
0.078,0.699999988,0.4926085656904139,3.589518931260585,-0.5454103889406517
0.08,0.699999988,0.499489909745935,3.516676964949187,-0.36301925289227643
0.082,0.699999988,0.5060310228835091,3.2567557627545543,-0.11747102366155321
0.084,0.699999988,0.5125747140982707,3.1231584576437688,-0.05610382930685748
0.086,0.699999988,0.5187156374834864,2.9424194302621913,-0.2169321846345535
0.088,0.699999988,0.5248307271663294,2.9267888600054768,-0.2875989668440291
0.09,0.699999988,0.5302050946160523,2.7169148945028536,-0.40113127164589774
0.092,0.699999988,0.5359219364688962,2.716630623272451,-0.458952751573667
0.094,0.699999988,0.5408206561452134,2.6526846903792283,-0.46679740530978847
0.096,0.699999988,0.5465801882574481,2.6391090765000595,-0.2458780336381009
0.098,0.699999988,0.5515463666459371,2.5006147858859467,-0.17237231351378599
0.1,0.699999988,0.5566163230515759,2.56291736530659,-0.06417203976289398
0.102,0.699999988,0.5612257359610204,2.3852000442168317,0.06863953760591252
0.104,0.699999988,0.5658188047533595,2.2490334939067664,0.0248470137086455
0.106,0.699999988,0.5700287643325764,2.156321593340344,-0.05427528287201243
0.108,0.699999988,0.5742490309453916,2.068809479443305,-0.14134750392345297
0.11,0.699999988,0.5780840944634981,1.9716324373454415,-0.1910251451024885
0.112,0.699999988,0.5818810257950809,1.9499883345484104,-0.28851579738572286
0.114,0.699999988,0.585742289230401,1.9896273109958107,-0.2977152267767804
0.116,0.699999988,0.5895923928277501,1.9451520766875743,-0.3680151369398907
0.118,0.699999988,0.59341609422103,1.7862873491040772,-0.30195337696137337
0.12,0.699999988,0.5972428474715524,1.7281717416404563,-0.17289263442974226
0.122,0.699999988,0.6006760152913876,1.6637531813861244,-0.06983795857021531
0.124,0.699999988,0.6037641971916039,1.5714461133497188,-0.01394091626276761
0.126,0.699999988,0.6072159176165344,1.532557744264596,0.12247930964000467
0.128,0.699999988,0.6102207994959448,1.7009624685877012,0.20723440990436995
0.13,0.699999988,0.6129468818508366,1.4562357585443217,0.23441212440619438
0.132,0.699999988,0.6156144971565312,1.3680551687689815,0.17320847656027347
0.134,0.699999988,0.6179380904932602,1.2759884844627223,0.18274379851676012
0.136,0.699999988,0.6206164512644197,1.2540878064471872,0.12600450564989318
0.138,0.699999988,0.622908097765625,1.1441298634241586,0.18239171480264424
0.14,0.699999988,0.625228853604507,1.173214458035412,0.08960760752438297
0.142,0.699999988,0.627529205322143,1.3045513872306702,-0.031254747593870626
0.144,0.699999988,0.6297877592875645,1.1557427944216332,-0.030077653283007554
0.146,0.699999988,0.6321036098083925,1.137998972519233,-0.16530513041661643
