time,des_dof_pos_right_ankle_joint,dof_pos_right_ankle_joint,dof_vel_right_ankle_joint,des_dof_pos_right_hip_pitch_joint,dof_pos_right_hip_pitch_joint,dof_vel_right_hip_pitch_joint,des_dof_pos_right_knee_joint,dof_pos_right_knee_joint,dof_vel_right_knee_joint
0.0,0.25,-0.346704364,-0.010990143,0.400000006,-0.011872649,0.010990143,1.539999962,1.003196597,-0.008080987
0.002,0.25,-0.3449560027133993,0.24477915829531083,0.400000006,-0.011855534988306885,0.035924687112993674,1.539999962,1.0038331009364039,0.05127721235950364
0.004,0.25,-0.3348262985132754,1.8774799937985474,0.400000006,-0.01110971,0.16381633779033217,1.539999962,1.007266856585903,0.5454713765487559
0.006,0.25,-0.3159999146903127,4.648384461102676,0.400000006,-0.01111806762257224,0.11991707630779253,1.539999962,1.0134725551919705,1.4180490382929891
0.008,0.25,-0.2901590874221482,7.634212534945164,0.400000006,-0.011502885822885691,0.07456269086832402,1.539999962,1.0215750391786607,2.3318994216241227
0.01,0.25,-0.25972069756778043,10.248670928492722,0.400000006,-0.012279383407995227,-0.08099902352052507,1.539999962,1.031106638695346,3.168759116856444
0.012,0.25,-0.2303655874235501,9.945980159586995,0.400000006,-0.014193648217926185,-0.38832487182425307,1.539999962,1.0417746432759225,3.8785742760685413
0.014,0.25,-0.20449751432970123,10.010781554817926,0.400000006,-0.01644304545096661,-0.6475154575395432,1.539999962,1.0522498066629173,4.450326153959578
0.016,0.25,-0.18400189356037444,9.226999210028083,0.400000006,-0.018718220129162223,-0.7790168075907098,1.539999962,1.0645125353185212,4.98059009518533
0.018,0.25,-0.16963920450282485,8.532251304322035,0.400000006,-0.019883513,-0.8008306474067797,1.539999962,1.0781728727062145,5.58667422161017
0.02,0.25,-0.15890132258984144,7.423616903499822,0.400000006,-0.019878191446047452,-0.556454317940384,1.539999962,1.09315906066305,6.17192238749839
0.022,0.25,-0.1505286838860684,6.282365616795614,0.400000006,-0.019480404195328326,-0.2700514802901919,1.539999962,1.1077480541720892,6.65363505902014
0.024,0.25,-0.1436698611305178,5.275371822045335,0.400000006,-0.01793921040586972,0.06103004773443092,1.539999962,1.1223131532894297,6.908308037900739
0.026,0.25,-0.13716837883661068,4.53330514682946,0.400000006,-0.015277918005005364,0.4974062950643547,1.539999962,1.135772061140865,6.888582396509474
0.028,0.25,-0.12990339692033445,4.187122162848101,0.400000006,-0.013355645324584834,0.6966301644768319,1.539999962,1.1480905428054815,6.6288104378254555
0.03,0.25,-0.1213558807531065,4.208529506797468,0.400000006,-0.010382919032168158,0.9963552740608523,1.539999962,1.1590196080648008,6.28249063309755
0.032,0.25,-0.11011788169341932,4.629845992203034,0.400000006,-0.00612381401588439,1.3094941251756838,1.539999962,1.1698703466224771,5.920863776573749
0.034,0.25,-0.0978775430791324,5.224138391697772,0.400000006,-0.0015351428016922894,1.6177299937690384,1.539999962,1.1799803054060303,5.597451040751282
0.036,0.25,-0.08414787003528851,5.793809373644015,0.400000006,0.0034284345698617075,1.9256758568426322,1.539999962,1.18923436763567,5.32267091533834
0.038,0.25,-0.07042186589491889,6.143517207651598,0.400000006,0.00915404972197042,2.2767086396281013,1.539999962,1.1984833172627622,5.031628781146708
0.04,0.25,-0.05783864818574153,6.2288390264723414,0.400000006,0.01526350809501669,2.5403908625276586,1.539999962,1.2066191725505484,4.724566136817239
0.042,0.25,-0.04679019639208676,5.985091475981767,0.400000006,0.02175019381337147,2.7816448893886307,1.539999962,1.2144694106470026,4.433909260702777
0.044,0.25,-0.03765695248679289,5.4998163028271385,0.400000006,0.028234790513207104,2.9575459577463765,1.539999962,1.2217591710569191,4.175967878210613
0.046,0.25,-0.030924520159186536,4.767151866225105,0.400000006,0.03496722284081347,3.1514886347826088,1.539999962,1.228909574818373,3.9858290263464236
0.048,0.25,-0.02519557432559247,4.042467681544362,0.400000006,0.04257853057460998,3.305678101531142,1.539999962,1.2364706705367394,3.887823976535429
0.05,0.25,-0.02051075751061799,3.436620611720353,0.400000006,0.050361572486995944,3.5062666678243857,1.539999962,1.2441964361189453,3.85423255
0.052,0.25,-0.015923341321973306,3.020766552849857,0.400000006,0.058000266513107725,3.6162473923927547,1.539999962,1.2517738497785986,3.8534699908996664
0.054,0.25,-0.010576843584028606,2.8689456044765196,0.400000006,0.06600732727985696,3.7259227908638857,1.539999962,1.2590589941032182,3.7565554908414778
0.056,0.25,-0.00408447548336502,2.980253694124406,0.400000006,0.07401429851663498,3.813505248913023,1.539999962,1.2657906173822482,3.659491535479919
0.058,0.25,0.0035262712891681626,3.2873230868193897,0.400000006,0.08162349292770796,3.8572328334798325,1.539999962,1.2725009687909037,3.5467941742239377
0.06,0.25,0.012337438693984515,3.683951266456343,0.400000006,0.09004256475163788,3.879646082205003,1.539999962,1.2792591666918405,3.449967399296843
0.062,0.25,0.02148484793625219,4.012242357345709,0.400000006,0.09767084027133684,3.9456792217580854,1.539999962,1.2859851344189142,3.4177890540568594
0.064,0.25,0.030450923629422068,4.18443209393275,0.400000006,0.10588974250040864,4.031775958132166,1.539999962,1.292577885006655,3.4019639310558087
0.066,0.25,0.03935915442029507,4.208568388618568,0.400000006,0.1147892866459158,4.098963110891328,1.539999962,1.299409807970493,3.353195027767902
0.068,0.25,0.04664031532315764,4.051927718506797,0.400000006,0.12323067805699975,4.142688878688767,1.539999962,1.3056187750925352,3.30416764167565
0.07,0.25,0.05235770750387412,3.655708792480272,0.400000006,0.1312434310356419,4.1210530256870905,1.539999962,1.3117896011647396,3.2230930623191085
0.072,0.25,0.05730483012057245,3.193824629910197,0.400000006,0.13925733523649375,4.142510605637209,1.539999962,1.3176799923273703,3.110605941298748
0.074,0.25,0.060740194943187234,2.6892359803005004,0.400000006,0.14765039287565507,4.099441724750238,1.539999962,1.3235722872254645,3.078007890601358
0.076,0.25,0.06417059888071096,2.3168917986341406,0.400000006,0.1556546697117977,4.16434921888417,1.539999962,1.3294578127071455,3.0136579180291068
0.078,0.25,0.06760871037301588,2.0764000904206346,0.400000006,0.16366986428571428,4.098899841,1.539999962,1.3353469145873016,2.980937283650794
0.08,0.25,0.07134326667973856,2.011852015248366,0.400000006,0.1715124328235294,4.098899841,1.539999962,1.3405643230326798,2.9018305059869283
0.082,0.25,0.07599862248733269,2.077787470959249,0.400000006,0.1796665813701004,3.966786496954589,1.539999962,1.3462690647380497,2.787109791959608
