time,des_dof_pos_right_ankle_joint,dof_pos_right_ankle_joint,dof_vel_right_ankle_joint,des_dof_pos_right_hip_pitch_joint,dof_pos_right_hip_pitch_joint,dof_vel_right_hip_pitch_joint,des_dof_pos_right_knee_joint,dof_pos_right_knee_joint,dof_vel_right_knee_joint
0.0,-0.311521469745684,-0.346704364,-0.010990143,0.025652351219549948,-0.011872649,0.010990143,1.0720654578833195,1.003196597,-0.008080987
0.002,-0.27404437186985076,-0.346704364,-0.010990143,0.05063708544716418,-0.012254119,0.010990143,1.1032963589050746,1.003196597,-0.024224719531645567
0.004,-0.23677020086113756,-0.3467023804641928,-0.010647298998581897,0.07548653412886722,-0.012254119,0.010990143,1.1343582206087577,1.0031973262602223,-0.007954937763412905
0.006,-0.200059809353995,-0.34594602219664383,0.12008535226943984,0.099960130150842,-0.012254119,0.010990143,1.1649501252644214,1.0034754064422122,0.040109927951548094
0.008,-0.1638170946747232,-0.3444065065063381,0.3639384257826087,0.12412194233956424,-0.011872649,0.010990143,1.195152479669008,1.004042248826561,0.12173007005698377
0.01,-0.1284148489074074,-0.34137354957315486,0.8007904944347826,0.14772343016441122,-0.011872649,0.010990143,1.2246543378244301,1.0054361068673143,0.2983970602184575
0.012,-0.093977570994493,-0.33652729946092835,1.4023674599169582,0.1706816203755537,-0.011872649,0.03242322563377653,1.2533520105165807,1.0068084119776068,0.4565727969944017
0.014,-0.06027761015725373,-0.3291546532311564,2.1650317759460758,0.19314826315964181,-0.012254119,-0.011000677872618336,1.2814353613049552,1.0093682054547635,0.7192046417352906
0.016,-0.027809162084971993,-0.32032864668221855,2.98211463608617,0.21479389188392325,-0.012258296004760772,-0.05554853424279933,1.308492388928614,1.012472805136872,1.0117007057024519
0.018,0.0033223829325014853,-0.31042177271920246,3.727610229414669,0.23554825270184193,-0.013019955469736529,-0.16508728315309754,1.3344352773827688,1.016117443170662,1.3184778898817944
0.02,0.03298875659593301,-0.2994077285751246,4.340294923528957,0.2553258388818182,-0.013779545270353667,-0.2307309861323285,1.3591572609098086,1.020864875442084,1.6885318539559697
0.022,0.06132153700523747,-0.2882817609174247,4.781746686010869,0.27421436659540527,-0.014544829704075606,-0.2308791496038984,1.382767949010118,1.0265095835597164,2.110846101697106
0.024,0.08789794779518646,-0.2769417675688128,5.086641301324277,0.2919319562988204,-0.014922829746603663,-0.25265571649675134,1.4049149150134634,1.0329021502002362,2.4951634309190784
0.026,0.11277571122177227,-0.2658753556649577,5.2411511192720885,0.3085171521572177,-0.015304376044950519,-0.2089627799279838,1.4256464182789423,1.0399143128973412,2.8508950901542867
0.028,0.13582219301598666,-0.255141848855389,5.285731359380356,0.32388145807921737,-0.015305877,-0.14282027439015466,1.4448518870057265,1.0478026065145793,3.2565818390047223
0.03,0.15698374682933525,-0.24456440757006256,5.307496278584701,0.33798918046938775,-0.015305877,-0.09929421162117813,1.4624864232082588,1.056134903698855,3.5926242972344467
0.032,0.17614939985160444,-0.23376572290394265,5.285847118307527,0.350766262234403,-0.015305102210274792,-0.032743420484109914,1.478457841733389,1.0652049430176822,3.9032736677585422
0.034,0.19322468630574768,-0.22305852444934446,5.352200336441597,0.3621497867638922,-0.014921224298569727,0.07729011290703218,1.4926872341647985,1.07448217377354,4.178317511176997
0.036,0.20814956024747533,-0.21161286338208388,5.484315709145658,0.3720997123873114,-0.014156845219912083,0.16545832388166803,1.5051246821734585,1.084020634263158,4.388373223542474
0.038,0.22083357965822784,-0.19944592205639142,5.681507655639853,0.3805557059683544,-0.013015973380405166,0.318804790707973,1.5156945962974684,1.0940849640231014,4.5977454572957
0.04,0.23131940197533365,-0.18655644089160053,5.943584620154484,0.3875462640969971,-0.011499675186826206,0.4935278204542116,1.524432888716635,1.104398042319038,4.790451782683687
0.042,0.2394919046762075,-0.17355763519450418,6.164101645538351,0.39299458898688133,-0.010350598369414576,0.5383127430685782,1.5312432865813954,1.1145197912179212,4.920381075422222
0.044,0.2453417649731368,-0.16020737546924177,6.3181662666132565,0.3968945056487579,-0.007685395693848355,0.8232230354630425,1.53611813912968,1.1251767320348116,5.033558409670959
0.046,0.24883709175229685,-0.1471126084728782,6.404609770508885,0.3992247236852404,-0.005439305556464812,0.9101030205624269,1.53903092565207,1.1350828058061726,5.065528222799743
0.048,0.24997781581942952,-0.13401162098904273,6.384905284912582,0.3999852163526674,-0.0023759591754364843,1.1289819256186635,1.5399814762102877,1.145829499035039,5.098154252351716
0.05,0.2487457087087912,-0.12206466686853501,6.297073434375871,0.3991638014725275,0.0010828689112340633,1.3726089547433244,1.5389547737833253,1.1557453047019486,5.082484571907746
0.052,0.24514016420674853,-0.11015371394492787,6.119816458988438,0.39676010491963754,0.004926524762665395,1.5502096800978662,1.535950138870514,1.1659183157726785,5.0498744807283344
