time,des_dof_pos_left_ankle_pitch_joint,dof_pos_left_ankle_pitch_joint,dof_vel_left_ankle_pitch_joint,des_dof_pos_left_ankle_roll_joint,dof_pos_left_ankle_roll_joint,dof_vel_left_ankle_roll_joint,des_dof_pos_left_hip_pitch_joint,dof_pos_left_hip_pitch_joint,dof_vel_left_hip_pitch_joint,des_dof_pos_left_hip_roll_joint,dof_pos_left_hip_roll_joint,dof_vel_left_hip_roll_joint,des_dof_pos_left_hip_yaw_joint,dof_pos_left_hip_yaw_joint,dof_vel_left_hip_yaw_joint,des_dof_pos_left_knee_joint,dof_pos_left_knee_joint,dof_vel_left_knee_joint,des_dof_pos_waist_yaw_joint,dof_pos_waist_yaw_joint,dof_vel_waist_yaw_joint
0.0,-0.2277380400994907,-0.265701532,0.01449585,0.01935717240127917,-0.009649545,0.00352478,0.03871434477484307,0.018524885,0.019226074,0.4322619563439536,0.340913057,-0.022125244,0.032261954011370365,-0.012394667,0.009918213,0.9387143175231553,0.879503489,0.105287552,0.0,0.006632566,-0.173191071
0.002,-0.19666299360264106,-0.26608259238542653,-0.09015359027310427,0.03800220249459784,-0.01003060538542654,0.007528759249881517,0.07600440401080431,0.018524885,-0.09179522724727489,0.4633370183973589,0.340913057,0.030957805457109005,0.06333700439735894,-0.012394667,0.0493513346870853,0.976004402362545,0.879503489,0.005792855033649291,0.0,0.007013627379383886,-0.06398786385023697
0.004,-0.16544007962468724,-0.2660827236165342,0.08672471648938442,0.056735953362802335,-0.009649545,0.038066527000948876,0.1134719066972477,0.018525976335310165,-0.005794865101174238,0.4945599314962469,0.34129752533531016,0.11871605000130471,0.0945599185738115,-0.012393572948997747,0.10613112371486182,1.013471875470392,0.8795045803353101,0.10840707053421896,0.0,0.007015944,0.03268477452971178
0.006,-0.1348134870771432,-0.2653188410375993,0.2658852651329617,0.0751119068764755,-0.009649545,0.14328695799928834,0.1502238127808513,0.018907443498517376,-0.004580243174119322,0.5251864947598665,0.34167899249851735,0.27965726774902144,0.1251865179228568,-0.01201115653825169,0.13498219321385363,1.050223775845475,0.8798860474985174,0.1320922005993358,0.0,0.007015944,-0.009826996897283835
0.008,-0.10466420944014294,-0.2649342824904535,0.2693178002840096,0.09320147760154854,-0.00888370598090692,0.30747089110859194,0.18640295523108993,0.01929213437112172,0.30206665284128875,0.555335801363907,0.3420627315083532,0.3272483934057279,0.15533579536390707,-0.011244496980906921,0.4581482145763723,1.0864029902590828,0.879886866,0.2680909032016706,0.0,0.007015944,0.06628468910620525
0.01,-0.07515108772342707,-0.2634052009246225,0.804394961975746,0.11090934583496187,-0.007354166924622518,0.55747948043455,0.22181869264263585,0.02005642985245512,0.3839108612765426,0.5848489161674213,0.3428279752267269,0.3957119543400309,0.18484891019470925,-0.010096876350850078,0.6029412363613125,1.1218187294339848,0.88103357164915,0.5479506758259423,0.0,0.007015944,0.09829727833254073
0.012,-0.046356107240400665,-0.2615084497717084,1.0667131153206701,0.1281863298061054,-0.005834469689948089,0.8533407816415762,0.2563726596122108,0.021194271179447853,0.6321601592333648,0.6136438925709516,0.34358688603480414,0.4787182914203634,0.21364388794824707,-0.00857957829613025,0.8878424640993393,1.1563727230221799,0.8821719345732657,0.6717843593489854,0.0,0.007015944,-0.12424407615384613
0.014,-0.01838791301097328,-0.2591801889262572,1.317525858541707,0.14496725870515267,-0.0035115779262572537,1.105195795321325,0.2899345173831107,0.023127575458776594,0.8266652572695842,0.6416120796083015,0.3455157471131528,0.8032693680738636,0.2416120890162214,-0.005490224004352031,1.4227123857385156,1.1899345241989505,0.8841061781131528,1.05914049709647,0.0,0.006632705039410059,-0.13656665666368473
0.016,0.0086353014692904,-0.2557344472667777,1.7835420032824845,0.16118117708157426,-0.0008309490023798187,1.3514956044405044,0.3223623531909362,0.025042002301047122,1.1178615190049976,0.6686352802192009,0.3470476184321752,1.0074203311423133,0.26863530421920095,-0.0028102679612089483,1.5903921477334602,1.2223623875514609,0.8867857180366492,1.1750007139133747,0.0,0.006632566,0.04766972753569729
0.018,0.03458943627694504,-0.25149554295444815,2.125762058838963,0.17675365811777302,0.0022523564538534727,1.565775379384158,0.35350731620747083,0.028123656540556614,1.4745445094268554,0.6945894065015465,0.3493597860099905,1.1810028972533302,0.2945894305015465,0.001427948428282588,1.999304662224548,1.2535072931793958,0.8898699768340865,1.6954559543245717,0.0,0.007015944,-0.047607848349666984
0.02,0.0593285528199307,-0.2465199505102236,2.503320949960182,0.1915971334594336,0.0060802316130575155,1.6642838532658137,0.38319426594503525,0.03156834420937463,1.8052182278219537,0.7193285318928188,0.3524216872448882,1.4671481587627646,0.3193285551077787,0.006404400577543943,2.45291914159548,1.2831942435151154,0.8936989859812268,2.010282213702619,0.0,0.007015944,0.13498790066268085
0.022,0.08290632769912981,-0.2411271146950929,2.8328928788523107,0.20574380444284182,0.009547058927108148,1.904671087625536,0.41148760888568364,0.03580397446260124,2.127258700711767,0.7429063454170938,0.3551193836846117,1.4383222585793234,0.34290634027178446,0.011407883176274418,2.5819884706121967,1.3114876423216115,0.8979349441762744,2.2576196632720347,0.0,0.0070146654645069076,-0.09969063369080515
0.024,0.10507377321473708,-0.23422814920398424,3.306962023371466,0.2190442657685704,0.014146074669688655,2.1309447190067994,0.4380885315371408,0.040786004323154,2.4466569310440174,0.7650737478390366,0.3589514210867231,1.9419589740496241,0.3650737709877191,0.016775708557199093,2.8592129516019322,1.3380884775371409,0.9033036842130502,2.683459022016939,0.0,0.006631651346534654,-0.02426272140391268
0.026,0.1258058967018545,-0.22693171321868316,3.7662714822902306,0.2314835409700428,0.0187550722048966,2.3127762807668173,0.4629670819400856,0.04577983649013549,2.7125125718131686,0.7858058931298145,0.36279336048419303,2.046583978182315,0.38580588712981456,0.022917875545281675,3.0422248749893037,1.3629670296519258,0.909831871496078,3.198813431168529,0.0,0.00624563204611362,-0.28054012718992155
0.028,0.1449662302,-0.21889991098948877,4.123780310853798,0.2429797325925926,0.024109305347228858,2.6320746159497137,0.4859594651851852,0.051899405461060685,2.8330168187327995,0.8049662404222222,0.3677662606477544,2.405601917341376,0.4049662352,0.029036585932752032,3.1517573930140945,1.3859594719629629,0.917098246424988,3.662502525408863,0.0,0.005097966507883421,-0.4539790224089823
