time,des_dof_pos_left_hip_roll_joint,dof_pos_left_hip_roll_joint,dof_vel_left_hip_roll_joint
8.254,0.699999988,0.681191781018598,0.30615646367238913
8.256,0.699999988,0.6819508884263954,0.31631680529846484
8.258,0.699999988,0.6823406531435726,0.30144896243238734
8.26,0.699999988,0.6831086282002387,0.3060854723526253
8.262,0.699999988,0.6838762118882795,0.3114578590587814
8.264,0.699999988,0.6846440490686933,0.21066392737446146
8.266,0.699999988,0.6854046026792003,0.40062410388910047
8.268,0.699999988,0.6857957347515832,0.33919261981001314
8.27,0.699999988,0.6865652118082975,0.2586730330872675
8.272,0.699999988,0.6873227131651561,0.3221711468786072
8.274,0.699999988,0.6877163812173964,0.35800376599976397
8.276,0.699999988,0.6884700530564343,0.24286428079978434
8.278,0.699999988,0.6888629567926641,0.2077734792115041
8.28,0.699999988,0.6896226740302054,0.18346178770690066
8.282,0.699999988,0.6900065971259935,0.24213259272855617
8.284,0.699999988,0.69038816608878,0.25318943830947543
8.286,0.699999988,0.6907733977518519,0.10244415001027479
8.288,0.699999988,0.6911576248493804,0.2401159153155386
8.29,0.699999988,0.6915407968619461,0.22848908882048238
8.292,0.699999988,0.6919229570226104,0.17075995999030982
8.294,0.699999988,0.6923085781916288,0.20984746329239207
8.296,0.699999988,0.6926920886789034,0.28448493194350416
8.298,0.699999988,0.6930753810738765,0.13270253493727024
8.3,0.699999988,0.693451166,0.24034214247154861
8.302,0.699999988,0.6934594396660307,0.039250028436866584
8.304,0.699999988,0.6938429170263378,0.19099936216832275
8.306,0.699999988,0.6942288152615678,0.09816454321113358
8.308,0.699999988,0.694602251,0.03306709066427718
8.31,0.699999988,0.6946122159679265,0.10930093203028497
8.312,0.699999988,0.6949956736098142,0.22889546452644116
8.314,0.699999988,0.695369005,0.14324130811869223
8.316,0.699999988,0.695369005,0.10514979610396749
8.318,0.699999988,0.6953854951479713,0.062286167651551316
8.32,0.699999988,0.696136713,0.22258760272904995
8.322,0.699999988,0.696136713,0.17655916120154488
8.324,0.699999988,0.6961440847540905,-0.008656579216051594
8.326,0.699999988,0.69652009,0.05646550455256898
8.328,0.699999988,0.69652009,0.09064364788903503
8.33,0.699999988,0.6965284223029692,0.004842762441567696
8.332,0.699999988,0.696903467,0.05106142330353082
8.334,0.699999988,0.6969119670673009,0.0487401288665874
