time,des_dof_pos_left_hip_roll_joint,dof_pos_left_hip_roll_joint,dof_vel_left_hip_roll_joint
0.0,0.04472864850849295,-0.000502348,0.029754639
0.002,0.08894996261699846,-0.000502348,0.03209255661078129
0.004,0.1323648615483717,-0.000496280162589928,0.07615019978129496
0.006,0.17528645350908442,-9.43408563660007e-05,0.3093794968829649
0.008,0.21733333107012523,0.001062054730669189,0.5433990414140459
0.01,0.2587028786007872,0.0033512842811674274,1.081565284627432
0.012,0.29905161757774607,0.0068383037317303165,1.7995038944903348
0.014,0.33809461085969933,0.011011124365975698,2.390680842028592
0.016,0.37594484550352997,0.016762484715516196,2.761326986198229
0.018,0.4124019873155386,0.023417243854528168,3.3424120949531733
0.02,0.4470898022523554,0.031090122331258976,4.030253804185735
0.022,0.4800403475605156,0.04034723530008362,4.721478833811731
0.024,0.511111011945567,0.05035556360515378,4.952397618259827
0.026,0.5400536621221375,0.061075546136179826,5.545912532518316
0.028,0.5669635238192771,0.07294626793841012,5.998906405853903
0.03,0.5916301483740947,0.08525261666980355,6.3028187214259495
0.032,0.6138708670678329,0.09850407567659779,6.695879252930322
0.034,0.6337493977034995,0.112802352394614,7.103728673183483
0.036,0.6512379916357347,0.12668454949432567,7.098639866576872
0.038,0.6660714376209034,0.14167629905097665,7.483027868749881
0.04,0.678263826808708,0.1566289641221138,7.532004787218281
0.042,0.6877711997008721,0.17195060682080993,7.69047676250675
0.044,0.6945908682061069,0.18732498648253249,7.740066962204841
0.046,0.6986562545296142,0.20267603511775084,7.735609475407952
0.048,0.699968274146324,0.21819859651470763,7.738830771471125
0.05,0.698531883270591,0.23403405335043762,7.819499163124446
0.052,0.6942973466245678,0.24945864217905644,7.663612140600072
0.054,0.6873427177522345,0.26440955718210024,7.549828776959666
0.056,0.6776819280143654,0.27937912712935326,7.471863497795309
0.058,0.6654012743470779,0.29386209427195603,7.1988025990352495
0.06,0.6504039762907073,0.308074173071599,6.910549720898807
0.062,0.6328638551952205,0.3211236531106007,6.43398084187821
0.064,0.6128998591292234,0.3336310052989358,6.195604626730002
0.066,0.5905893602674768,0.3451723131959435,5.655496285772304
0.068,0.5655863101722454,0.35602940377562653,5.171084684441976
0.07,0.5385998171354639,0.3655703696456392,4.644467622538351
0.072,0.5094564436581767,0.37401678467293953,4.073114659106837
0.074,0.4783633573532433,0.3816660150189941,3.643129952668618
0.076,0.4452602595171139,0.38818258493381036,3.0967868675742394
0.078,0.4104534452419912,0.39354428316258033,2.4384712123403953
0.08,0.3740899840892435,0.39811520640255965,2.205211016222222
0.082,0.3365227005281842,0.40111057620314133,1.4560781632
0.084,0.2970763373458781,0.4034441598582089,0.9084614069123736
0.086,0.2566065386504472,0.4042035233447576,0.36579428163350847
0.088,0.215192422329767,0.40380280113545625,-0.32031810798075094
0.09,0.1730619655469217,0.40226036858731296,-0.6848953341852783
0.092,0.13001110783329356,0.39955227877363897,-1.5428155569828081
0.094,0.08652352584802288,0.39606248064962457,-2.0048989350017874
0.096,0.04278266700570749,0.39068206152386553,-2.6755265188426995
0.098,-0.0010655042618820157,0.3846243741124503,-3.2233873292797397
0.1,-0.04508501730208458,0.3768649363604157,-3.799834201457723
0.102,-0.08882194026455216,0.36887491348815793,-4.339995780873685
0.104,-0.13210446795342695,0.3584788597698594,-5.0042369333244805
0.106,-0.17528615398879352,0.3476338820639751,-5.425765482931832
0.108,-0.2174956029131005,0.33566847996570204,-6.045556062909967
0.11,-0.2588353350370194,0.3229922092789035,-6.532115470619309
0.112,-0.299107779132569,0.3087921396437111,-7.183250232729914
0.114,-0.33831647112063457,0.29413843007047175,-7.511041836746302
0.116,-0.3758763184888571,0.27802125202271405,-8.12081289691823
0.118,-0.4122031532552127,0.260725591457405,-8.515520557344692
0.12,-0.44689560483375224,0.24385630967241378,-8.828157624564746
0.122,-0.47996621078118656,0.2248500667021786,-9.258007745902082
0.124,-0.511051833543014,0.2063373253329357,-9.363507565767506
0.126,-0.5400958574942966,0.18637765276429336,-9.931046342559254
0.128,-0.5669111649223695,0.16647656095745442,-10.102807483441664
0.13,-0.5916149506532122,0.14576110541645768,-10.373097750016361
0.132,-0.6139682108060447,0.12461853087497014,-10.549916660015763
0.134,-0.6338334163847439,0.10309738458883975,-10.79034014144605
0.136,-0.6512507686250447,0.08156047536502445,-10.789948815035668
0.138,-0.6660920333513353,0.059676860289473686,-11.002969440473684
0.14,-0.67828492797604,0.037747614772921614,-11.0239996108095
0.142,-0.6877975447235455,0.016334715748731264,-10.964866688160747
0.144,-0.6945748158806648,-0.005696699434928229,-10.988232079702152
0.146,-0.6986542582006434,-0.02800938900547554,-10.767336005535055
0.148,-0.6999650564795419,-0.04946185908941149,-10.752149889647487
0.15,-0.6985115253285018,-0.07097379674943567,-10.740185806845075
0.152,-0.6943247771675838,-0.09237212074261099,-10.62752811504212
0.154,-0.6873518636371112,-0.11278116193506493,-10.335518775259741
0.156,-0.6776981657906676,-0.13307884176120094,-9.968617548473441
0.158,-0.6655702234733601,-0.1516589248930716,-9.529605809941687
0.16,-0.6507618428377924,-0.17069912621013378,-9.156980212322008
0.162,-0.6331579523484119,-0.1888672154533893,-8.800316049014997
0.164,-0.6129673190704824,-0.2058594447761534,-8.360290637244457
0.166,-0.5907338035443023,-0.22081879552819414,-7.8812388285084465
0.168,-0.5661566799289742,-0.23530780504061574,-7.135635866791474
0.17,-0.5390058904117226,-0.24922632279716755,-6.7262415617822855
0.172,-0.5099200743525603,-0.26151915333126863,-6.200908313259083
0.174,-0.47861593464099844,-0.27281091205689784,-5.471653298554965
0.176,-0.4460218094834532,-0.2825809743288998,-4.857240416866643
0.178,-0.4110596112681125,-0.29185422211835954,-4.373281254682336
0.18,-0.3746860833953017,-0.29917564393928575,-3.654478331565476
0.182,-0.33681445612368205,-0.30572196659782735,-3.1394503338417095
0.184,-0.29786636082363527,-0.310708368258733,-2.4386436504600355
0.186,-0.25723862841613054,-0.31460021958209317,-1.8425480623113297
0.188,-0.2158836672743975,-0.3169326694038118,-1.1195621270142944
0.19,-0.17361528148288524,-0.31810935822083036,-0.4912830877277501
0.192,-0.13097415936871776,-0.318133116,0.1480983284695641
0.194,-0.0872687943267374,-0.31700592848049924,0.7961217130190807
0.196,-0.04348442877475426,-0.3143477838471824,1.3393405560286533
0.198,0.0006987404621997175,-0.3105330737228714,2.0368528348929167
0.2,0.044121545081152465,-0.30523880331703285,2.71616197019974
0.202,0.08820191335703154,-0.29908105380593253,3.202807593834274
0.204,0.13187021034556465,-0.29132412820694664,3.7316143549079026
0.206,0.17461657189461136,-0.28298077625607165,4.432395899533483
0.208,0.21683708216692613,-0.2729642109373274,4.95486801236535
0.21,0.258380110562418,-0.2625599744378294,5.584009412231912
0.212,0.2987251905681302,-0.250674917884001,6.025920657937887
0.214,0.33801166886351797,-0.23774396178316387,6.559713768037361
0.216,0.37558616724810584,-0.22329992710005914,6.946232010563335
0.218,0.4122235581595569,-0.2079772829383506,7.630056008307782
0.22,0.4465586323382616,-0.1930039191148075,7.962098045004188
0.222,0.47953127661784894,-0.1761596550102564,8.342673100723077
0.224,0.5108991579739888,-0.15798836661858973,8.702251386297721
0.226,0.5399610079942694,-0.1407871293302994,9.072872094865389
0.228,0.566897329012497,-0.1219024606659153,9.417405504932969
0.23,0.5915257876317044,-0.10281015863295037,9.588051535359588
0.232,0.6138543407969289,-0.08337160958936397,9.851860143131233
0.234,0.6337372147146947,-0.06336019184815771,9.895523607173669
0.236,0.6511589800184232,-0.04284297913886883,10.16440704839603
0.238,0.6660395887814318,-0.02178859718298479,10.361670475572243
0.24,0.6782057773834271,-0.0022739605041796032,10.214229268930021
0.242,0.6877731922058614,0.01923926719295123,10.303979132724102
0.244,0.694581020071582,0.03985751686685858,10.517791752645197
0.246,0.6986533034312166,0.06031611770276009,10.26141469682425
0.248,0.6999713006793984,0.08081191966454353,10.15875641453975
0.25,0.6985274360550786,0.10102540586560796,10.160211334953068
0.252,0.6943273372688584,0.12104529988527336,9.925906624750567
0.254,0.6873631734891421,0.14125545626418232,9.771460555828625
0.256,0.6777567377303129,0.16034889561108445,9.518654431084334
0.258,0.665354847979914,0.17886689892074928,9.16815249611095
0.26,0.6503418351974013,0.1966241148605981,8.783366492715716
0.262,0.6328061400788095,0.21348134262638543,8.372211135515194
0.264,0.6128026206752238,0.22956548287018255,7.9160316731164535
0.266,0.59031845789369,0.24450956687630543,7.452300879924229
0.268,0.5657214348955828,0.25795115486702247,6.867138375351938
0.27,0.5387582346649246,0.2709852268006431,6.272674787386924
0.272,0.5097400562905203,0.2825224501566193,5.6994609005530625
0.274,0.47836069382812496,0.29344899673906305,5.276368382521516
0.276,0.4453098812910305,0.3026472346961194,4.65233365594388
0.278,0.4105036819552257,0.31107994400071254,4.032720105871512
0.28,0.37423582747421696,0.31794648087423744,3.3701636367128107
0.282,0.336389839331462,0.3236098146634209,2.8881101406045286
0.284,0.29710526805197135,0.32828166311837853,2.102624162203635
0.286,0.2566367230920631,0.3313465681727165,1.5198135233164887
0.288,0.2154313935676453,0.33324653487023725,0.8442793073418404
0.29,0.1729730675390299,0.33400270350375494,0.19576557976159256
0.292,0.13005667904351445,0.3336051497897774,-0.31893591935366855
0.294,0.08673364863039601,0.33208901898393284,-0.9911976561004796
0.296,0.04305046338982444,0.329378772092911,-1.51261546843382
0.298,-0.0009872439956989248,0.3252099478464437,-2.213554487028262
0.3,-0.04502970373135219,0.3197500240686274,-2.9346550213921567
0.302,-0.08884233658151082,0.3131913851451369,-3.3629863319098425
0.304,-0.13191440588588588,0.30532055199941754,-4.013014463234712
0.306,-0.1751336172902381,0.29590166217811764,-4.643761546527765
0.308,-0.21729043822097469,0.28643582518876815,-5.181435242437681
0.31,-0.25871230666053413,0.27439137422043136,-5.832416965614008
0.312,-0.29887768494475603,0.26255762956266165,-6.381605180449564
0.314,-0.338063798574994,0.24931711239501528,-6.729197196755232
0.316,-0.3759469122415563,0.2341290287749373,-7.275070499896787
0.318,-0.4123126983258427,0.21912735451612905,-7.639321898304348
0.32,-0.44676252126517146,0.20333139761290323,-8.029760170521739
0.322,-0.4799021631611826,0.18582256909215825,-8.564093634614546
0.324,-0.5109514475091907,0.1682896062435442,-8.800611908780857
0.326,-0.5400153261344098,0.1500868388779187,-9.200373966891311
0.328,-0.5668093140634141,0.13101632460630194,-9.535412448727147
0.33,-0.5910645228761274,0.11244703429743767,-9.788029410627423
0.332,-0.6136218718614026,0.09162919586538462,-9.977661930478366
0.334,-0.63357038471306,0.0716400875830549,-10.050447596182577
0.336,-0.6509989297092568,0.0513422167466365,-10.266848868332659
0.338,-0.6657983785083933,0.03073725447372791,-10.362215903089906
0.34,-0.6781078771579879,0.009165332758480166,-10.276593554263336
0.342,-0.6876077139774889,-0.011014495601890136,-10.304260283254578
0.344,-0.6945246770880497,-0.03265604010193766,-10.544181987979782
0.346,-0.698632705545357,-0.05300001267456819,-10.361227692147589
0.348,-0.6999860605231316,-0.07370857668240344,-10.398865890035765
0.35,-0.6985973779896907,-0.09470534473688583,-10.313583438279254
0.352,-0.694406488723176,-0.11515965987896945,-10.142474643469145
0.354,-0.6874970297569437,-0.1351239724946339,-9.949043073404008
0.356,-0.6778772789537586,-0.15431337386747707,-9.595451863315576
0.358,-0.6656592101911324,-0.17302309735396657,-9.283319538658128
0.36,-0.6506602926785118,-0.1911475549891031,-8.91994778162364
0.362,-0.6331625151574747,-0.2080730755086526,-8.414338322898198
0.364,-0.6131891816741732,-0.2238067441585903,-7.878425960340636
0.366,-0.5909227405713428,-0.23907205150717079,-7.470528210822686
0.368,-0.5660163487523242,-0.2530090668979004,-7.042686281276304
