time,u,y,dy
0.0,0.000631429,0.000190735,0.010990143
0.002,0.0012713164779217664,0.000190735,0.010990143
0.004,0.001919351181591449,0.000190735,-0.005051648978549542
0.006,0.0025671402312236287,0.0004807557623318385,0.022428925799054658
0.008,0.0032308008726555965,0.00026792143852663017,0.015436850546789449
0.01,0.0038948170332182403,0.000190735,0.010990143
0.012,0.00456288738336714,0.000190735,-0.006025612451725747
0.014,0.005238498396089185,0.000190735,0.023104487204039917
0.016,0.005919894427586207,0.000190735,0.015730528833112902
0.018000000000000002,0.006605596240038177,0.000190735,0.010990143
0.02,0.007299858081303725,0.0004948584097068243,0.028510680116531163
0.022,0.008000820805343511,0.000572205,0.015257801386113767
0.024,0.008707245620574561,0.000572205,0.028806838441500837
0.026000000000000002,0.009419516112195122,0.000572205,0.015382338649277405
0.028,0.010136659043509359,0.000572205,0.010990143
0.03,0.010861279730920818,0.000572205,0.010990143
0.032,0.011593543777155121,0.000572205,0.028281591729045798
0.034,0.012330716725766067,0.000572205,0.032966614
0.036000000000000004,0.013074167114898689,0.000572205,0.015494265121786518
0.038,0.013823501113620157,0.000572205,0.010990143
0.04,0.014576874308427974,0.000572205,0.02841001032440406
0.042,0.015340850618712754,0.000572205,0.015936004550128537
0.044,0.016108663690632068,0.000572205,0.027987384843447035
0.046,0.01688173695098156,0.000572205,0.015975521924779815
0.048,0.017660657839607984,0.000572205,0.010990143
0.05,0.018449140639074428,0.0008647015092388146,0.027840899032306795
0.052000000000000005,0.01924232708445664,0.00065363269386246,0.032966614
0.054,0.020041576036721156,0.0008734695543426672,0.015610729925961082
0.056,0.0208416509898167,0.000953674,0.027764662391740684
0.058,0.021656781006048387,0.000953674,0.032966614
0.06,0.022469915290611563,0.000953674,0.032966614
0.062,0.023295017439372328,0.000953674,0.016406610189189187
0.064,0.024122331815594356,0.000953674,0.027558574428908
0.066,0.024960824146087583,0.000953674,0.032966614
0.068,0.025805848690839694,0.000953674,0.01536926812262416
0.07,0.026654340289137952,0.000953674,0.010990143
0.07200000000000001,0.027508771242012398,0.0012590501273399308,0.028582849127816858
0.074,0.028369121304337466,0.001335144,0.032966614
0.076,0.02923522708652819,0.001335144,0.015230894674493446
0.078,0.030104132614091558,0.001335144,0.04532977352388645
0.08,0.030982850135793622,0.001335144,0.054946899
0.082,0.03186934249576423,0.001335144,0.054946899
0.084,0.03276109766996307,0.0016234126407883667,0.03833687231090013
0.08600000000000001,0.03365760164087278,0.001716614,0.049361533151995304
0.088,0.03456088338465194,0.001716614,0.0713948974973545
0.09,0.035466936101987076,0.0020008086306945927,0.09329585389729027
0.092,0.03638598238685871,0.002385847276379477,0.11548080698789932
0.094,0.03730602033159021,0.0030339508356759227,0.1687911532247743
0.096,0.03823060896428571,0.003807605074613959,0.2356503688348363
0.098,0.0391629611504255,0.004289322948887837,0.252746582
0.1,0.0401075340822898,0.004672671729274456,0.21981735939357477
0.10200000000000001,0.04105365212056822,0.005051054564476313,0.208789825
0.10400000000000001,0.04200670184440205,0.005452066079405737,0.208789825
0.106,0.04296456596555012,0.00583912567143709,0.208789825
0.108,0.04392831166833155,0.006220519933508103,0.208789825
0.11,0.04489573096270257,0.006897082189653158,0.26088956024909493
0.112,0.045871228804127404,0.007924310014712645,0.3246845498832184
0.114,0.04685380447204969,0.009083241699497117,0.42531837900637803
0.116,0.04784350021288249,0.009640622023942159,0.43357443160637665
0.11800000000000001,0.048836193869668816,0.010018576154789995,0.36148627192213306
0.12,0.049835384534344766,0.010407607003558719,0.2890397749288256
0.122,0.05084316685952072,0.010787514811764706,0.274726868
0.124,0.051845323097273924,0.011449258986978258,0.274726868
0.126,0.05287037947724842,0.012788535920859854,0.3744303867558545
0.128,0.05389076258139535,0.013712744939569818,0.454300556101855
0.13,0.05492088772329809,0.014479595169947427,0.4404954623658149
0.132,0.05595306606982334,0.015225340508699633,0.4130509238535943
0.134,0.05700303260534478,0.016049933686131387,0.406593323
0.136,0.058051297180832045,0.017126702582502637,0.44170923972006565
0.138,0.059104695788822825,0.01796405817600763,0.450550079
0.14,0.060161477686731156,0.018723026174422733,0.3984202795116637
0.14200000000000002,0.061228573200214256,0.019181996337125255,0.36737434775542127
0.14400000000000002,0.062298155114122684,0.019847410738219898,0.362636566
0.146,0.06337216031334368,0.02088780093227751,0.3956937512961825
0.148,0.06445731163348417,0.022019365221267073,0.4391571421234103
0.15,0.06554490330177656,0.02287198730667766,0.450550079
0.152,0.06663964117812798,0.02363879377182827,0.43442007004860106
0.154,0.06774178121382522,0.024403411625193477,0.4609237248955828
0.156,0.06884960566626923,0.02549896693036212,0.47252655
0.158,0.06996194661358761,0.02635573440071599,0.47252655
0.16,0.07107967888141446,0.02712021840967742,0.43749243778064517
0.162,0.07220193253718514,0.027579251507331027,0.3759976921890571
0.164,0.07333284935545023,0.02825616793150041,0.37991140245329574
0.166,0.07446121422499101,0.02928748500739286,0.4179534601982211
0.168,0.07560782598534144,0.030426766191069078,0.4782850448698671
0.17,0.07675429009576624,0.031283571383307576,0.47795432957698253
0.17200000000000001,0.07790697931240392,0.0320478772505978,0.42277707659050695
0.17400000000000002,0.07905597760468469,0.0330945717940026,0.4396038724863103
0.176,0.08022856939363344,0.03424979853513121,0.48397613874313705
0.178,0.08139389689754001,0.03509836472538191,0.494506836
0.18,0.08257122407518798,0.03557088220653719,0.44542106551065846
0.182,0.08375342270387189,0.036260366548387095,0.41151743202092417
0.184,0.08494288485949035,0.03734489934887947,0.4416841796977589
0.186,0.08613385318045114,0.038475301859247135,0.4851029471398176
