time,u,y,dy
0.0,0.03139526,0.000190735,0.024211553382217088
0.002,0.062666617,0.000190735,0.01902954333701392
0.004,0.09355440899050445,0.000190735,0.010990143
0.006,0.12408294154700855,0.000190735,0.010990143
0.008,0.1550777850140309,0.000190735,0.010990143
0.01,0.18454307315755855,0.00047420392050209206,0.04365424285606695
0.012,0.21314340721641611,0.0011406514907462686,0.13682313857014924
0.014,0.24114111139742522,0.0027264941279748016,0.3892866601896874
0.016,0.2681673060319428,0.004351990547915668,0.5524297846526114
0.018000000000000002,0.2941281876941511,0.005881446806590258,0.6625774471267908
0.02,0.3188248512232068,0.007904549751465012,0.7850839126673561
0.022,0.34248018937380725,0.010497148836130307,0.9186995220936575
0.024,0.3646861780879355,0.013497968479237083,1.1338613535289714
0.026000000000000002,0.3853323164495413,0.017812651116398494,1.4620666879599453
0.028,0.4045695448733755,0.023238603337984498,1.8767369529395348
0.03,0.42222113598092964,0.02920465007816392,2.2995960766231764
0.032,0.4382026361490047,0.03552858071856146,2.6391467237982966
0.034,0.45245490151243783,0.042490151943101,2.9299900982716927
0.036000000000000004,0.4648513005781805,0.050481014293912614,3.2703160452778537
0.038,0.4755606412415067,0.059101959378672984,3.656220497177725
0.04,0.484316075914204,0.06843888575026962,4.036835262240623
0.042,0.49115944360045305,0.07821473486433053,4.362179724447378
0.044,0.4960671611652246,0.08880752835425028,4.625833053009486
0.046,0.4990063567391253,0.09919775838882984,4.867239430841304
0.048,0.49999682299677994,0.11001869001608866,5.0607952651683945
0.05,0.4990027967466635,0.12139265538802396,5.253090240211377
0.052000000000000005,0.4960415323995469,0.13250368607277882,5.4182799143936675
0.054,0.4911207494506975,0.14387338655987986,5.524983041410451
0.056,0.484260246114422,0.15530902875946812,5.581137612135225
0.058,0.475491467677477,0.16645513470379747,5.608676404491139
0.06,0.46484364796782646,0.17792685275332315,5.615383148
0.062,0.45236760221397904,0.18912039720939336,5.585149372827789
0.064,0.43809426125303935,0.19965301464526947,5.50998550397988
0.066,0.4221008326090584,0.20973993412492506,5.375154433873396
0.068,0.4044419291683558,0.21948475953548235,5.224007354479128
0.07,0.38518277703626025,0.22928713548654323,5.098669589900247
0.07200000000000001,0.3645335433091598,0.23925037814635905,5.03436802975054
0.074,0.34218931432284594,0.24865206002531645,4.942688761025316
0.076,0.31862914541344783,0.25722085641065723,4.73869172666572
0.078,0.29380278607142857,0.2647424952410038,4.420536833246449
0.08,0.2678137970760547,0.27143011020150054,4.023236115038585
0.082,0.24086010825463242,0.2771048205134136,3.6367950124044355
0.084,0.212789968674377,0.2821380885404386,3.235283179932799
0.08600000000000001,0.183956852293698,0.28663116336360295,2.858178371654044
0.088,0.15447624801247326,0.29002762358655565,2.488414396975015
0.09,0.12442019163756236,0.2928037639506084,2.0671891038727033
0.092,0.0935870955884597,0.29409764019469975,1.53167791471374
0.094,0.06255848902181947,0.2940311967666507,1.0219360813172016
0.096,0.03128369191186923,0.29365749437189126,0.5948792300899941
0.098,8.553553423359256e-05,0.2924757257033888,0.21052702803807927
0.1,-0.03148848488969712,0.29009706697360704,-0.28091181088844086
0.10200000000000001,-0.06277014138565129,0.2868827450722281,-0.744401036323318
0.10400000000000001,-0.09378572039002862,0.2829343308425915,-1.1961234113981996
0.106,-0.12445278652055775,0.27788774609473815,-1.6608136432545257
0.108,-0.1546071152590871,0.27228749425227566,-2.058345100645112
0.11,-0.18414917871916073,0.26567530167726666,-2.4837165705483675
0.112,-0.21329423980059736,0.25841775784793125,-2.897629421483184
0.114,-0.24132846787937,0.2502993962523209,-3.3106280245774817
0.116,-0.26836868391738194,0.24131656396122084,-3.71285353547696
0.11800000000000001,-0.2943304930416021,0.23159312269531063,-4.108405871461795
0.12,-0.3191248629253785,0.22114719003844327,-4.502443996893688
0.122,-0.34266117995797224,0.21019490835455412,-4.897609143564616
0.124,-0.36476522241203924,0.19863795419815558,-5.22620454774864
0.126,-0.38558942047782546,0.18612499246690908,-5.55336752597503
0.128,-0.4048159147741205,0.1730375915198917,-5.8975801314342045
0.13,-0.4224498619808082,0.15935252303249098,-6.23417956933935
0.132,-0.4384056277836618,0.14532208276106617,-6.498705471979295
0.134,-0.4525867237464991,0.13101193778930556,-6.755223970982373
0.136,-0.46507715651704,0.1158493021096634,-7.004363937996381
0.138,-0.4756808453772212,0.10055778594904155,-7.23021214681224
0.14,-0.48441409936929314,0.08497609682973256,-7.414416197164078
0.14200000000000002,-0.49123088902550655,0.06910991920803698,-7.604403364309033
0.14400000000000002,-0.4961094952102503,0.053170278577399754,-7.740068318519319
0.146,-0.4990305494994035,0.03699770385050798,-7.835196922702467
0.148,-0.49998201199857006,0.020681339819563153,-7.923148725620014
