time,u,y,dy
0.0,0.5,0.000443768999281351,0.018166944108156665
0.002,0.5,0.00031255403477730326,0.01800813257986577
0.004,0.5,0.00046035696815676665,0.026523053488793632
0.006,0.5,0.002726618944300518,0.26569993503626943
0.008,0.5,0.007703915157346889,0.9267879991790122
0.01,0.5,0.013924786270755423,1.6814507432311143
0.012,0.5,0.019608009092682926,2.165183195207317
0.014,0.5,0.025285260554320545,2.3736064635098604
0.016,0.5,0.03212321999178404,2.6447668567083333
0.018000000000000002,0.5,0.04068895255858277,3.1481407856032986
0.02,0.5,0.05176896033239635,3.8643991365674633
0.022,0.5,0.06400117856876288,4.65784337567842
0.024,0.5,0.07647412754755145,5.291166926246274
0.026000000000000002,0.5,0.08887957595568062,5.604321819867042
0.028,0.5,0.10127999681735264,5.804755131160757
0.03,0.5,0.11406661591524013,5.999758500585949
0.032,0.5,0.126717466562166,6.196866586054507
0.034,0.5,0.14025749283773023,6.351353905597561
0.036000000000000004,0.5,0.15336029647306898,6.41666230432684
0.038,0.5,0.16607295469552705,6.412691602637127
0.04,0.5,0.1782290249391284,6.328608539401916
0.042,0.5,0.18973730260626753,6.185947192327155
0.044,0.5,0.20160164859004023,6.058684076301811
0.046,0.5,0.21318452603285282,6.000901611240362
0.048,0.5,0.22471038736407417,5.9100520644991565
0.05,0.5,0.23593399215255859,5.815531437693926
0.052000000000000005,0.5,0.24644170276374674,5.6799724992591045
0.054,0.5,0.256290823015014,5.48232544679702
0.056,0.5,0.26549266797751714,5.213070972055963
0.058,0.5,0.27444513540060933,4.92889455434882
0.06,0.5,0.28284678022933724,4.689924489315128
0.062,0.5,0.2908725969334077,4.494571292421131
0.064,0.5,0.2983712383284646,4.289563464141805
0.066,0.5,0.3056398926413276,4.088100279652035
0.068,0.5,0.31282232470231286,3.9173041673342452
0.07,0.5,0.3194974207077587,3.693809025405804
0.07200000000000001,0.5,0.3254907922677147,3.5244583638790155
0.074,0.5,0.33152141458057977,3.340714979550877
0.076,0.5,0.3372336171206255,3.203097966033259
0.078,0.5,0.3429804618356711,3.0399907450752117
0.08,0.5,0.3480910391936969,2.881836550556303
0.082,0.5,0.3530716401843213,2.778252345214741
0.084,0.5,0.3576930021768851,2.6576293639222457
0.08600000000000001,0.5,0.362262233204684,2.5260041527098815
0.088,0.5,0.3665971151346712,2.37566246039676
0.09,0.5,0.3706365794239548,2.3083456707586443
0.092,0.5,0.3749242581919609,2.2135221520071373
0.094,0.5,0.37885573438446973,2.153263026977273
0.096,0.5,0.38268490181508164,2.041708313353026
0.098,0.5,0.3859753854710764,1.9417987535275811
0.1,0.5,0.3893012171337557,1.8545550444665024
0.10200000000000001,0.5,0.392392973789517,1.801541104838994
0.10400000000000001,0.5,0.39575239662033246,1.757382215415201
0.106,0.5,0.39891680747393704,1.678884453710425
0.108,0.5,0.40196349687727007,1.6081741548915134
0.11,0.5,0.404712893138522,1.5764045303891467
0.112,0.5,0.40771214751965174,1.5197028397581327
0.114,0.5,0.41019637313599033,1.417806796332367
0.116,0.5,0.4127841155922721,1.41309726800403
0.11800000000000001,0.5,0.4154477502957277,1.417583466
0.12,0.5,0.4181261797356322,1.34756422568295
0.122,0.5,0.42064860155750056,1.329669952
0.124,0.5,0.42299217489408397,1.2979397173492366
0.126,0.5,0.425364262340929,1.235720504279955
0.128,0.5,0.42770495185634827,1.219779968
0.13,0.5,0.4298829732333222,1.171484742030627
0.132,0.5,0.4319278079365119,1.1703525321425345
0.134,0.5,0.4341608119222835,1.1251752957922765
0.136,0.5,0.43615975789624334,1.0929719016738222
0.138,0.5,0.43808574972383824,1.0536447517442364
0.14,0.5,0.43991310941991685,1.0277426829280656
0.14200000000000002,0.5,0.44185451965818046,0.9887690442100338
0.14400000000000002,0.5,0.44377135595032524,0.978023529
0.146,0.5,0.4453993623591073,0.9105454007468033
0.148,0.5,0.4469202520760497,0.890110016
0.15,0.5,0.44846707536966307,0.821712639872035
0.152,0.5,0.44998591080025924,0.802196503
0.154,0.5,0.4512299337628065,0.7849471874518087
0.156,0.5,0.4526046845309111,0.7639655510457238
0.158,0.5,0.45388217888615306,0.7413377946387867
0.16,0.5,0.4550386084638661,0.7019929668333926
0.162,0.5,0.456190534184182,0.6231915263228602
0.164,0.5,0.4573332669781654,0.60439682
0.166,0.5,0.4584811522170162,0.6217093808572799
0.168,0.5,0.45956723050167003,0.5777932305564463
0.17,0.5,0.46041716127336757,0.5446311556196729
0.17200000000000001,0.5,0.46145794186562167,0.5225868596134977
0.17400000000000002,0.5,0.46232004450176345,0.516483307
0.176,0.5,0.46308135745344803,0.5008526175149994
0.178,0.5,0.4638489589048648,0.4472064137989189
0.18,0.5,0.46433992418916653,0.396846733147196
0.182,0.5,0.46526479592127007,0.4003391596877951
0.184,0.5,0.4661300309266533,0.4221351831251627
0.186,0.5,0.4668859971095373,0.4132288060993862
0.188,0.5,0.4673883014756664,0.3595903003489851
0.19,0.5,0.4677667238096849,0.32516617414994164
0.192,0.5,0.46841501713087247,0.31867981
0.194,0.5,0.46919023308894287,0.33444792696719317
0.196,0.5,0.47023352506260435,0.3565488791250894
0.198,0.5,0.4708219925379561,0.3939163655078024
0.2,0.5,0.4714698640318555,0.36011169037572804
0.202,0.5,0.471968496488101,0.30913889527489075
0.20400000000000001,0.5,0.4726188529163342,0.296703339
0.20600000000000002,0.5,0.4731092118962636,0.296703339
0.20800000000000002,0.5,0.47376847036089953,0.3282559034265506
0.21,0.5,0.4742587733099179,0.324814086466246
0.212,0.5,0.4749143836201024,0.31867981
