time,u,y
0.0,1.0,0.000190735
0.002,1.0,0.000190735
0.004,1.0,0.0010030014920654599
0.006,1.0,0.006182053411764706
0.008,1.0,0.017896584067372476
0.01,1.0,0.03722337408585602
0.012,1.0,0.0620518177160128
0.014,1.0,0.09118412061624717
0.016,1.0,0.1241592918852459
0.018000000000000002,1.0,0.15958293920754715
0.02,1.0,0.19498749333325083
0.022,1.0,0.2305914766851788
0.024,1.0,0.26404166529104756
0.026000000000000002,1.0,0.29484401714671726
0.028,1.0,0.3225514629374628
0.03,1.0,0.34752022029866253
0.032,1.0,0.3689729386039091
0.034,1.0,0.3884800217161804
0.036000000000000004,1.0,0.40587649366770223
0.038,1.0,0.4216568057113713
0.04,1.0,0.4364332915935252
0.042,1.0,0.4507086318540443
0.044,1.0,0.4647418394599385
0.046,1.0,0.47857068099425837
0.048,1.0,0.49194807549698044
0.05,1.0,0.5059180342419162
0.052000000000000005,1.0,0.5200484166752504
0.054,1.0,0.5341779432599976
0.056,1.0,0.5485604634242929
0.058,1.0,0.5627117944281982
0.06,1.0,0.5765706468113321
0.062,1.0,0.5902932459575455
0.064,1.0,0.6037102340144065
0.066,1.0,0.6168005806390284
0.068,1.0,0.6292136233574758
0.07,1.0,0.6410495316089577
0.07200000000000001,1.0,0.6523036267794012
0.074,1.0,0.6630589854821684
0.076,1.0,0.673171043075
0.078,1.0,0.6828142869808932
0.08,1.0,0.6920225034576513
0.082,1.0,0.7009103146851252
0.084,1.0,0.7093670696661526
0.08600000000000001,1.0,0.7174826173060345
0.088,1.0,0.7251972017454762
0.09,1.0,0.7331069491734475
0.092,1.0,0.7405790763835773
0.094,1.0,0.7480104999574781
0.096,1.0,0.7553368068934132
0.098,1.0,0.7623128735127255
0.1,1.0,0.769224156505587
0.10200000000000001,1.0,0.7760818899624793
0.10400000000000001,1.0,0.7826256593654919
0.106,1.0,0.7891421948310908
0.108,1.0,0.795617046640356
0.11,1.0,0.8018323503807753
0.112,1.0,0.8076466296163013
0.114,1.0,0.8133355789682878
0.116,1.0,0.8187777041510792
0.11800000000000001,1.0,0.8241134909852609
0.12,1.0,0.8291721090684866
0.122,1.0,0.8341264815702735
0.124,1.0,0.8390732053198573
0.126,1.0,0.8434540727907589
0.128,1.0,0.8478179990538214
0.13,1.0,0.8522118690718204
0.132,1.0,0.8564087788554444
0.134,1.0,0.860324580231546
0.136,1.0,0.8641358591948206
0.138,1.0,0.8679482875509718
0.14,1.0,0.8717660086857177
0.14200000000000002,1.0,0.8752842304829024
0.14400000000000002,1.0,0.8787120282186793
0.146,1.0,0.8821567016765305
0.148,1.0,0.885266270164353
0.15,1.0,0.888323452321977
0.152,1.0,0.8913982269855804
0.154,1.0,0.8944441613103571
0.156,1.0,0.8974847035342205
0.158,1.0,0.9002399224837325
0.16,1.0,0.903218710918666
0.162,1.0,0.9056859088946488
0.164,1.0,0.9082733456930504
0.166,1.0,0.9109395720429506
0.168,1.0,0.9130109519279183
0.17,1.0,0.9155187474339691
0.17200000000000001,1.0,0.9176954390391535
0.17400000000000002,1.0,0.9198224741249489
0.176,1.0,0.9217861580410079
0.178,1.0,0.9239859267255182
0.18,1.0,0.9259859007741201
0.182,1.0,0.9278858557553318
0.184,1.0,0.9294999981925881
0.186,1.0,0.931623487041876
0.188,1.0,0.9333166388010925
0.19,1.0,0.9351412535375598
0.192,1.0,0.9366854900687563
0.194,1.0,0.9379388257436402
0.196,1.0,0.9394061332532714
0.198,1.0,0.9409424419403198
0.2,1.0,0.9418815770755619
0.202,1.0,0.9432341131601809
0.20400000000000001,1.0,0.9447575901144966
0.20600000000000002,1.0,0.9456825484605679
0.20800000000000002,1.0,0.947043765705451
0.21,1.0,0.9485711419017773
0.212,1.0,0.9495116422116447
0.214,1.0,0.950568395025641
0.216,1.0,0.9520109441379682
0.218,1.0,0.9532419364563662
0.22,1.0,0.954086563899301
0.222,1.0,0.9551161866548652
0.224,1.0,0.9562830254157706
0.226,1.0,0.9571393245418894
0.228,1.0,0.9581961621491238
0.23,1.0,0.9590445747336503
0.232,1.0,0.9601068843210084
0.234,1.0,0.9609569000834625
0.23600000000000002,1.0,0.9614222446311854
0.23800000000000002,1.0,0.9618022975355828
0.24,1.0,0.9624759583346428
0.242,1.0,0.9635348863214457
0.244,1.0,0.9646848459598563
0.246,1.0,0.9652368161086854
0.248,1.0,0.9656190005107708
0.25,1.0,0.9662949398769908
0.252,1.0,0.9670595508358459
0.254,1.0,0.9681201038505967
0.256,1.0,0.968952552575452
0.258,1.0,0.9694305138710776
0.26,1.0,0.969520569
0.262,1.0,0.9698164056722508
0.264,1.0,0.969902039
0.266,1.0,0.969902039
0.268,1.0,0.9701982920133652
0.27,1.0,0.9705786569956072
0.272,1.0,0.9712542243112937
0.274,1.0,0.9723098139149315
0.276,1.0,0.9731638015475161
0.278,1.0,0.9736312834490889
0.28,1.0,0.9740117122673796
0.28200000000000003,1.0,0.9746891007967255
0.28400000000000003,1.0,0.9751556392964018
0.28600000000000003,1.0,0.9758331920481034
0.28800000000000003,1.0,0.9765956638084473
0.29,1.0,0.9770631622149154
0.292,1.0,0.977433364459695
0.294,1.0,0.977531433
0.296,1.0,0.977531433
0.298,1.0,0.977531433
0.3,1.0,0.977531433
0.302,1.0,0.977531433
0.304,1.0,0.977531433
0.306,1.0,0.977531433
0.308,1.0,0.977531433
0.31,1.0,0.977531433
0.312,1.0,0.977531433
0.314,1.0,0.977531433
0.316,1.0,0.977531433
0.318,1.0,0.977531433
0.32,1.0,0.977531433
0.322,1.0,0.9778263981417294
0.324,1.0,0.977912903
0.326,1.0,0.977912903
0.328,1.0,0.9782090316343612
0.33,1.0,0.978294373
0.332,1.0,0.9785863421151207
0.334,1.0,0.978969661504629
0.336,1.0,0.9793530014674485
0.338,1.0,0.9800249655111531
0.34,1.0,0.9807842390629827
0.342,1.0,0.9815546364273112
0.34400000000000003,1.0,0.9817276
0.34600000000000003,1.0,0.9820227676776284
0.34800000000000003,1.0,0.9818125737189293
0.35000000000000003,1.0,0.9817276
0.352,1.0,0.9817276
0.354,1.0,0.9817276
0.356,1.0,0.9817276
0.358,1.0,0.9817276
0.36,1.0,0.9817276
0.362,1.0,0.9817276
0.364,1.0,0.9817276
0.366,1.0,0.9817276
0.368,1.0,0.9817276
0.37,1.0,0.9817276
0.372,1.0,0.9817276
0.374,1.0,0.9817276
0.376,1.0,0.9817276
0.378,1.0,0.9817276
0.38,1.0,0.9817276
0.382,1.0,0.9817276
0.384,1.0,0.9817276
0.386,1.0,0.9817276
0.388,1.0,0.9817276
0.39,1.0,0.9817276
